lat	lon	Y	year
  -5.6512001e+01   1.7633400e+02   1.4799992e-01   2.0070000e+03
  -5.6216000e+01   1.7640500e+02  -4.7299980e-01   2.0070000e+03
  -5.7402000e+01   1.7486800e+02  -2.7800020e-01   2.0070000e+03
  -5.1922001e+01   1.6118201e+02  -1.3790002e+00   2.0070000e+03
  -5.1332001e+01   1.6205400e+02  -9.7100001e-01   2.0070000e+03
  -5.1998001e+01   1.6171600e+02  -1.0700001e+00   2.0070000e+03
  -5.8356998e+01   1.6913300e+02  -1.0360000e+00   2.0070000e+03
  -5.9498001e+01   1.6796700e+02   6.5400003e-01   2.0070000e+03
  -5.8928001e+01   1.7097701e+02  -7.2199981e-01   2.0070000e+03
  -6.2169998e+01   1.6764900e+02   9.8999908e-02   2.0070000e+03
  -6.2606998e+01   1.6927000e+02   1.0399999e-01   2.0070000e+03
  -6.2873001e+01   1.7001401e+02   1.7199993e-01   2.0070000e+03
  -5.7492000e+01   1.6532300e+02  -1.8900980e+00   2.0070000e+03
  -5.8524000e+01   1.6963800e+02  -1.7858982e+00   2.0070000e+03
  -5.5705000e+01   1.7046700e+02   4.1390093e-01   2.0070000e+03
  -5.7486000e+01   1.7677000e+02  -5.3376240e-01   2.0070000e+03
  -5.6735000e+01   1.7799800e+02   7.5702942e-01   2.0070000e+03
  -6.1251000e+01   1.7980600e+02   1.3795053e-01   2.0070000e+03
  -6.0063000e+01   1.7678300e+02   7.3086272e-01   2.0070000e+03
  -6.0326000e+01   1.7669800e+02   4.5212123e-01   2.0070000e+03
  -6.0243000e+01   1.7723200e+02   6.2455456e-01   2.0070000e+03
  -5.5535000e+01   1.7464200e+02   1.7950000e+00   2.0070000e+03
  -5.5327000e+01   1.7345000e+02  -5.2961644e-01   2.0070000e+03
  -5.4192000e+01   1.7825700e+02   5.6242726e-01   2.0070000e+03
  -5.2046000e+01   1.7535600e+02  -2.6063556e-01   2.0070000e+03
  -5.0452000e+01   1.7536600e+02  -1.5271874e+00   2.0070000e+03
  -5.0433000e+01   1.6436500e+02  -2.8330936e-01   2.0070000e+03
  -5.4140000e+01   1.6906500e+02   3.0198129e-02   2.0070000e+03
  -5.4484000e+01   1.6908200e+02   1.1759396e-01   2.0070000e+03
  -5.4405000e+01   1.6955700e+02   4.1802042e-01   2.0070000e+03
  -5.1700001e+01   1.7636900e+02   1.0361649e+00   2.0080000e+03
  -5.1049000e+01   1.7729700e+02  -3.6261757e-01   2.0080000e+03
  -5.0910999e+01   1.7793100e+02   1.7446159e-01   2.0080000e+03
  -5.3727001e+01   1.7727400e+02   3.1499982e-01   2.0080000e+03
  -5.4431999e+01   1.7600500e+02   1.2200002e-01   2.0080000e+03
  -5.4812000e+01   1.7656000e+02   3.0800015e-01   2.0080000e+03
  -5.5842000e+01   1.7450700e+02  -1.5520011e-01   2.0080000e+03
  -5.7027000e+01   1.7462300e+02   2.0665233e-01   2.0080000e+03
